# x	res_f2_nosym	res_f2_sym	res_f2_NN_SR
5.00000000e-01	2.65094638e-03	1.05157495e-03	2.24866532e-03
4.81035042e-01	9.54911508e-04	-7.25194416e-04	2.24866532e-03
4.63412606e-01	-1.40517133e-03	-2.15016979e-03	2.24866532e-03
4.47358482e-01	-4.30747192e-03	-3.40851466e-03	2.24866532e-03
4.32872668e-01	-7.52072525e-03	-5.13835740e-03	2.24866532e-03
4.19899233e-01	-1.08616829e-02	-7.15075735e-03	2.24866532e-03
4.08382371e-01	-1.17621023e-02	-7.88604206e-03	2.24866532e-03
3.98322080e-01	-1.19747196e-02	-7.55864132e-03	2.24866532e-03
3.89682398e-01	-1.23506194e-02	-7.47075735e-03	2.24866532e-03
3.82382048e-01	-1.28043529e-02	-7.53262006e-03	2.24866532e-03
3.76417934e-01	-1.32660265e-02	-7.67397835e-03	2.24866532e-03
3.71769020e-01	-1.36816684e-02	-7.83993640e-03	2.24866532e-03
3.68329636e-01	-1.40201960e-02	-7.99383857e-03	2.24866532e-03
3.66085202e-01	-1.42551766e-02	-8.10835823e-03	2.24866532e-03
3.65035717e-01	-1.43688461e-02	-8.13282932e-03	2.24866532e-03
3.65173039e-01	-1.43538819e-02	-8.13297491e-03	2.24866532e-03
3.66399233e-01	-1.42217385e-02	-8.09166905e-03	2.24866532e-03
3.68685621e-01	-1.39839088e-02	-7.97671430e-03	2.24866532e-03
3.72017153e-01	-1.36582909e-02	-7.82996991e-03	2.24866532e-03
3.76315363e-01	-1.32746729e-02	-7.67714115e-03	2.24866532e-03
3.81568963e-01	-1.28625740e-02	-7.54712118e-03	2.24866532e-03
3.87750336e-01	-1.24587125e-02	-7.47504895e-03	2.24866532e-03
3.94785783e-01	-1.21072253e-02	-7.50127636e-03	2.24866532e-03
4.02671298e-01	-1.18527469e-02	-7.67016980e-03	2.24866532e-03
4.11365846e-01	-1.17463749e-02	-8.03059155e-03	2.24866532e-03
4.20812269e-01	-1.06125914e-02	-6.99518554e-03	2.24866532e-03
4.31001431e-01	-7.97586837e-03	-5.40202060e-03	2.24866532e-03
4.41864388e-01	-5.46086753e-03	-3.99924243e-03	2.24866532e-03
4.53386396e-01	-3.13522696e-03	-2.85359502e-03	2.24866532e-03
4.65524602e-01	-1.07599832e-03	-2.03739144e-03	2.24866532e-03
4.78228555e-01	6.38221575e-04	-1.07720010e-03	2.24866532e-03
4.91494330e-01	1.97930928e-03	3.85719501e-04	2.24866532e-03
5.05280274e-01	3.01691575e-03	1.35585351e-03	2.24866532e-03
5.19538214e-01	5.76420002e-03	2.20902138e-03	2.24866532e-03
