# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.0000e+00 1.0000e+00 4.0000e+01 3.0056e-02 4.9035e-02 2.8901e-02 4.0033e-02 1.7735e-02 4.7052e-02 2.7884e-03 4.6863e-02 9.5696e-05 3.9485e-02
1.0000e+00 1.0000e+00 4.0000e+01 3.0478e-02 5.1089e-02 1.6894e-03 4.2582e-02 1.8651e-02 5.0175e-02 1.1411e-03 4.4582e-02 6.9224e-04 4.1713e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.1836e-02 5.1125e-02 1.1843e-02 4.2199e-02 1.2480e-02 4.8123e-02 1.9050e-04 4.2641e-02 1.5537e-03 3.8304e-02
1.0000e+00 1.0000e+00 4.0000e+01 3.3204e-02 4.9012e-02 1.9380e-02 4.5313e-02 1.9250e-02 4.9033e-02 1.4042e-02 4.5050e-02 7.4390e-04 3.6925e-02
1.0000e+00 1.0000e+00 4.0000e+01 4.3626e-02 5.8825e-02 3.6537e-02 4.8814e-02 1.8048e-02 4.8043e-02 1.2368e-02 4.6920e-02 5.9931e-05 3.5685e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.8755e-02 4.6178e-02 1.9528e-02 3.4352e-02 1.9421e-02 4.6446e-02 1.2978e-02 3.7490e-02 2.3508e-04 3.4997e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.8270e-02 4.9364e-02 1.8180e-02 4.6009e-02 2.1173e-02 4.7607e-02 1.5111e-02 3.9910e-02 2.5410e-04 3.6496e-02
1.0000e+00 1.0000e+00 4.0000e+01 3.3363e-02 5.1443e-02 3.4823e-02 4.2926e-02 1.9720e-02 4.7170e-02 1.2983e-02 4.1797e-02 2.8942e-03 3.8154e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.6881e-02 5.3506e-02 1.9930e-02 5.0577e-02 2.0306e-02 5.0118e-02 1.1918e-02 4.3612e-02 2.8095e-03 4.0232e-02
1.0000e+00 1.0000e+00 4.0000e+01 3.2262e-02 5.1250e-02 2.7250e-02 4.0470e-02 2.0069e-02 4.5973e-02 1.4257e-02 3.8440e-02 3.1594e-04 3.6310e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.1414e-02 4.8009e-02 2.4767e-02 3.8184e-02 1.8440e-02 4.5540e-02 1.3299e-02 3.9156e-02 2.1450e-04 3.6054e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.0892e-02 5.0852e-02 2.3820e-02 3.9149e-02 1.7574e-02 4.6423e-02 1.4835e-02 3.9036e-02 9.5140e-04 3.5105e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.7975e-02 4.8444e-02 1.3327e-04 4.4642e-02 1.7681e-02 4.7533e-02 1.9822e-04 4.5960e-02 3.4741e-04 3.8750e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.5814e-02 4.6928e-02 2.2772e-02 3.3156e-02 2.1874e-02 4.4014e-02 1.7945e-02 4.2980e-02 5.7512e-04 3.4425e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.3720e-02 4.7254e-02 1.9908e-02 3.5942e-02 2.0722e-02 4.6092e-02 1.5153e-02 4.5821e-02 5.2064e-04 3.7509e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.3396e-02 4.7998e-02 1.5866e-02 4.3067e-02 1.8532e-02 4.6937e-02 1.2967e-02 4.4996e-02 2.0745e-03 4.0341e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.9076e-02 5.5641e-02 2.0390e-02 4.5995e-02 1.9095e-02 4.7491e-02 3.7831e-05 4.1777e-02 2.1409e-03 3.7814e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.5186e-02 5.2246e-02 2.1360e-02 4.3171e-02 2.5161e-02 4.9333e-02 3.8800e-04 4.3299e-02 3.2573e-03 3.9860e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.2759e-02 4.8742e-02 2.1449e-02 3.8678e-02 2.3911e-02 4.6164e-02 1.6121e-02 4.4324e-02 9.6599e-04 3.5343e-02
1.1220e+00 1.1220e+00 3.9000e+01 3.0289e-02 4.9149e-02 2.2514e-02 4.0924e-02 1.8035e-02 4.6983e-02 8.8915e-03 4.6104e-02 6.7262e-04 4.1637e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.9358e-02 4.9276e-02 1.6945e-03 3.8668e-02 2.0789e-02 4.6766e-02 5.0430e-04 4.4298e-02 2.4557e-04 3.9172e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.8149e-02 5.8625e-02 1.9880e-02 5.3203e-02 2.0153e-02 4.9584e-02 1.0045e-02 4.7725e-02 3.2831e-03 4.1958e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.3640e-02 5.0676e-02 1.5399e-02 3.9132e-02 1.6151e-02 4.8906e-02 1.2116e-02 4.7097e-02 1.0097e-03 4.0960e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.1711e-02 4.6263e-02 2.0911e-02 3.8171e-02 2.1780e-02 4.5065e-02 1.5269e-02 4.3446e-02 8.1736e-04 3.7964e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.4608e-02 4.8358e-02 1.3753e-02 4.3901e-02 2.2313e-02 4.7224e-02 1.4359e-02 3.7916e-02 1.2974e-03 3.4215e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.0091e-02 5.0479e-02 1.9624e-02 1.9080e-02 2.0351e-02 4.7544e-02 2.3979e-03 3.9342e-02 7.9444e-04 3.7910e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.9543e-02 4.6204e-02 2.8670e-02 3.5150e-02 2.4957e-02 4.5813e-02 7.3273e-04 3.9011e-02 8.6362e-04 3.6500e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.5492e-02 5.5495e-02 2.2010e-02 4.8424e-02 1.6578e-02 4.9068e-02 8.8224e-03 4.4941e-02 9.3418e-04 4.0501e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.2773e-02 5.3148e-02 2.7296e-02 4.9556e-02 2.1314e-02 5.0095e-02 1.4611e-02 4.5590e-02 4.1393e-04 3.7996e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.3422e-02 5.1179e-02 1.2599e-02 3.7391e-02 1.8089e-02 4.8514e-02 1.0485e-03 4.7189e-02 7.9722e-04 3.8698e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.3481e-02 5.2315e-02 6.8357e-03 4.6085e-02 2.1313e-02 4.5006e-02 1.2510e-02 4.3863e-02 5.1511e-03 3.1423e-02
1.4125e+00 1.4125e+00 3.7000e+01 4.8844e-02 6.2594e-02 4.3399e-02 5.0368e-02 2.5543e-02 5.0397e-02 3.3095e-03 4.8404e-02 3.3681e-04 3.5488e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.6223e-02 5.2317e-02 1.5004e-02 4.4746e-02 1.3705e-02 4.7827e-02 8.4697e-03 4.2429e-02 1.6959e-03 4.1531e-02
1.4125e+00 1.4125e+00 3.7000e+01 5.5292e-02 7.2618e-02 4.5104e-02 6.3439e-02 2.3641e-02 4.8879e-02 2.0640e-03 3.8851e-02 9.8870e-04 3.5370e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.4122e-02 5.3719e-02 2.3357e-02 4.6452e-02 2.1242e-02 5.0845e-02 1.6892e-02 4.2416e-02 1.6141e-03 4.0628e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.6485e-02 5.0193e-02 2.3338e-02 4.0214e-02 2.0837e-02 4.7496e-02 1.2009e-02 4.5125e-02 6.1583e-05 3.6154e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.9345e-02 5.0269e-02 1.0687e-03 4.2833e-02 1.7234e-02 4.7860e-02 1.0142e-03 4.5589e-02 6.3429e-04 4.1315e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.3473e-02 5.3417e-02 1.9649e-02 3.8593e-02 2.0457e-02 5.0793e-02 1.4258e-02 4.7536e-02 6.4725e-04 3.7699e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.4521e-02 5.5534e-02 1.1940e-03 3.8798e-02 1.4905e-02 5.3285e-02 7.4449e-04 5.0751e-02 4.3022e-04 4.2180e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.0453e-02 4.9063e-02 2.2018e-02 4.0036e-02 1.8619e-02 4.8337e-02 1.1185e-02 4.2327e-02 9.7459e-04 3.7248e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.4493e-02 5.0974e-02 6.6646e-03 4.4831e-02 2.5040e-02 5.0686e-02 4.6720e-03 4.8599e-02 1.8330e-03 3.8332e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.6520e-02 5.6037e-02 2.8759e-02 4.7220e-02 2.1189e-02 5.0008e-02 4.2965e-04 4.4028e-02 9.9278e-04 4.1734e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.6471e-02 5.0442e-02 2.0982e-02 4.5363e-02 2.4203e-02 4.4634e-02 1.7616e-02 4.3560e-02 1.2727e-03 3.7592e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.7545e-02 4.8481e-02 1.7293e-02 4.0912e-02 1.8707e-02 4.4019e-02 1.4984e-03 3.8216e-02 5.2531e-04 3.4366e-02
1.5849e+00 1.5849e+00 3.6000e+01 4.2153e-02 5.7391e-02 2.0922e-02 4.4071e-02 2.7229e-02 5.2668e-02 5.2088e-03 4.7858e-02 3.3813e-03 4.1467e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.1291e-02 4.9679e-02 2.4286e-03 3.7028e-02 2.1321e-02 4.4883e-02 1.3899e-02 4.3216e-02 1.5435e-04 3.5482e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.7379e-02 4.9351e-02 2.0594e-02 4.0922e-02 1.6856e-02 4.5360e-02 9.2001e-03 4.1242e-02 3.4141e-03 3.9906e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.5402e-02 5.1168e-02 2.5217e-02 3.8341e-02 1.5351e-02 4.4615e-02 1.0079e-02 3.5529e-02 2.2688e-03 3.2273e-02
1.5849e+00 1.5849e+00 3.6000e+01 3.9866e-02 4.8505e-02 7.4536e-04 3.6311e-02 1.7829e-02 4.7518e-02 1.0775e-02 4.5776e-02 1.4334e-03 3.5836e-02
1.5849e+00 1.5849e+00 3.6000e+01 5.2668e-02 6.4801e-02 3.3075e-02 5.6414e-02 2.8052e-02 4.7169e-02 1.7056e-02 4.2004e-02 2.6521e-03 4.1106e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.4381e-02 5.7400e-02 2.5181e-02 2.2893e-02 2.4296e-02 5.0368e-02 9.3128e-03 4.7835e-02 4.6579e-03 3.3263e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.7506e-02 5.7963e-02 3.1981e-02 3.6088e-02 2.2230e-02 4.6066e-02 9.3414e-05 3.6524e-02 1.8902e-03 3.4991e-02
1.7783e+00 1.7783e+00 3.5000e+01 4.2769e-02 6.6273e-02 3.6776e-02 5.6509e-02 1.0982e-02 5.3263e-02 7.4301e-03 4.4806e-02 2.1565e-03 4.0233e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.7526e-02 5.7227e-02 1.7189e-02 4.4604e-02 1.9856e-02 4.8993e-02 1.3751e-02 4.5563e-02 1.4714e-03 3.9914e-02
1.7783e+00 1.7783e+00 3.5000e+01 3.9435e-02 5.8923e-02 3.7446e-02 4.4845e-02 3.0339e-02 5.0897e-02 2.7425e-02 3.6990e-02 3.3223e-03 3.5458e-02
