# noise_perc_th noise_perc SNR_dB SINDy_ku0_f1 SINDy_ku0_f2 SINDy_f1 SINDy_f2 SINDy_Sym_f1 SINDy_Sym_f2 SINDy_Sym_f1_SR SINDy_Sym_f2_SR Poly_f1 Poly_f2 Param_f1 Param_f2
1.0000e+00 1.0000e+00 4.0000e+01 1.6351e-01 2.6605e+00 2.9032e-01 2.7765e-01 2.5529e-01 1.9575e-01 2.4202e-01 1.9678e-01 2.2203e-01 5.2149e-01 9.5696e-05 3.9485e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6444e-01 1.5700e+00 2.9196e-01 2.8218e-01 2.5546e-01 1.9855e-01 2.3638e-01 1.9363e-01 2.2409e-01 5.2349e-01 1.4497e-03 3.9947e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6239e-01 9.0302e-01 2.9945e-01 2.8168e-01 2.5329e-01 1.9376e-01 2.5405e-01 1.9455e-01 2.1183e-01 5.1238e-01 1.5537e-03 3.8304e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6536e-01 2.9048e+00 3.0299e-01 2.7260e-01 2.5602e-01 1.9197e-01 2.3318e-01 1.8869e-01 2.1598e-01 5.1473e-01 7.7578e-04 3.7366e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6307e-01 2.4978e+00 2.9439e-01 2.8419e-01 2.5471e-01 1.9796e-01 2.5040e-01 1.9416e-01 2.2228e-01 5.2323e-01 1.1678e-04 4.0377e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6196e-01 1.1420e+00 3.0382e-01 2.7397e-01 2.5584e-01 1.8906e-01 2.6862e-01 1.8318e-01 2.1969e-01 5.1197e-01 1.0636e-04 3.6113e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6311e-01 1.7409e+00 3.0291e-01 2.7324e-01 2.6150e-01 1.9012e-01 2.3942e-01 1.8965e-01 2.1529e-01 5.0549e-01 1.0064e-04 3.6406e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6344e-01 2.5117e+00 3.0361e-01 2.7741e-01 2.5298e-01 1.9615e-01 2.5123e-01 1.9655e-01 2.2051e-01 5.2283e-01 1.2183e-03 3.8266e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6447e-01 1.7953e+00 3.0153e-01 2.7746e-01 2.5949e-01 1.9258e-01 2.7002e-01 1.8708e-01 2.2255e-01 5.1626e-01 1.5945e-03 3.8121e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.6644e-01 1.2005e+00 3.0229e-01 2.7553e-01 2.6261e-01 1.8996e-01 2.3883e-01 1.9306e-01 2.1794e-01 5.0931e-01 8.4318e-04 3.5927e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6243e-01 6.8156e+00 3.0209e-01 2.7431e-01 2.5636e-01 1.9045e-01 2.5080e-01 1.9373e-01 2.2211e-01 5.1512e-01 8.2883e-04 3.6302e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6279e-01 3.9473e+00 3.0730e-01 2.6537e-01 2.5423e-01 1.8548e-01 2.3648e-01 1.9096e-01 2.1393e-01 5.0542e-01 3.5941e-04 3.3381e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6423e-01 5.4160e+00 2.9367e-01 2.7893e-01 2.5533e-01 1.9393e-01 2.3035e-01 1.9360e-01 2.2622e-01 5.2522e-01 2.1425e-05 3.9131e-02
