# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 4.7876e-04 1.2766e-02 2.7481e-04 4.8621e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 2.8073e-04 3.8073e-02 2.7781e-04 3.8077e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 1.5963e-04 4.3542e-02 2.8033e-04 4.6708e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 3.6920e-04 2.9057e-02 3.3592e-04 4.3183e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 2.8317e-04 3.8075e-02 3.2260e-04 4.3175e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 2.8083e-04 3.8072e-02 2.8810e-04 3.8075e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 2.8083e-04 3.8072e-02 2.7421e-04 3.8069e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 3.8191e-04 2.9056e-02 2.7857e-04 3.8074e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 4.7890e-04 1.2768e-02 4.6572e-04 4.5558e-02
0.0000e+00 0.0000e+00 inf 2.8083e-04 3.8072e-02 4.7906e-04 1.2768e-02 2.8083e-04 3.8071e-02
1.0000e+00 1.0000e+00 4.0000e+01 7.7096e-04 3.8995e-02 8.7973e-04 2.8797e-02 9.7047e-04 1.2307e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2617e-03 3.5454e-02 1.4310e-03 1.4088e-02 1.4290e-03 1.4088e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.1436e-03 3.6065e-02 9.6176e-04 1.4115e-02 9.5968e-04 1.4112e-02
1.0000e+00 1.0000e+00 4.0000e+01 6.6869e-04 3.7910e-02 4.7034e-04 1.1888e-02 6.6859e-04 3.7912e-02
1.0000e+00 1.0000e+00 4.0000e+01 6.2415e-04 3.7841e-02 8.1562e-04 1.2886e-02 6.2250e-04 3.7842e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.8893e-03 3.6816e-02 2.0586e-03 1.2935e-02 1.8884e-03 3.6815e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.1027e-03 3.9895e-02 1.1024e-03 1.0410e-02 1.1024e-03 3.9903e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.5968e-04 3.9312e-02 4.3967e-05 2.9784e-02 1.5961e-04 3.9312e-02
1.0000e+00 1.0000e+00 4.0000e+01 9.7441e-04 3.5201e-02 9.7942e-04 3.5274e-02 7.6317e-04 4.6996e-02
1.0000e+00 1.0000e+00 4.0000e+01 3.7010e-05 3.7429e-02 1.6665e-04 1.2062e-02 1.6870e-04 1.2062e-02
1.1220e+00 1.1220e+00 3.9000e+01 9.3165e-04 4.2503e-02 2.9569e-02 4.1551e-02 9.3161e-04 4.2504e-02
1.1220e+00 1.1220e+00 3.9000e+01 8.1304e-04 4.0595e-02 1.0450e-03 1.2355e-02 1.0428e-03 1.2349e-02
1.1220e+00 1.1220e+00 3.9000e+01 4.4875e-04 3.6304e-02 4.4980e-04 1.0020e-02 6.2207e-04 1.3086e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.5673e-03 4.0973e-02 2.7630e-03 1.2213e-02 2.7630e-03 1.2213e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6835e-03 3.9565e-02 1.6817e-03 3.9565e-02 1.6832e-03 3.9563e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.5566e-03 3.8529e-02 1.7327e-03 1.3262e-02 1.7327e-03 1.3262e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.4118e-04 4.0473e-02 4.6524e-04 1.1649e-02 3.0990e-04 4.4408e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.9626e-03 4.4419e-02 2.2418e-03 1.1595e-02 2.2410e-03 1.1595e-02
