noise_th noise noise_db xNN vNN  xNN+SR vNN+SR xNN+sym vNN+sym xNN+sym+SR vNN+sym+SR xparam vparam
0.00000000 0.00000000 inf 0.00037607 0.00036686 0.00014173 0.00036686 0.00056917 0.00060025 0.00008841 0.00007624 0.00005782 0.00004784
0.00000000 0.00000000 inf 0.00036195 0.00032949 0.00025303 0.00032949 0.00064971 0.00058022 0.00021954 0.00021654 0.00020621 0.00018613
0.00000000 0.00000000 inf 0.00042153 0.00043384 0.00025080 0.00043384 0.00078413 0.00066211 0.00037052 0.00032837 0.00046646 0.00044172
0.00000000 0.00000000 inf 0.00050086 0.00038032 0.00040659 0.00038032 0.00060786 0.00048059 0.00043845 0.00034997 0.00036265 0.00025311
0.00000000 0.00000000 inf 0.00058553 0.00042996 0.00035034 0.00042996 0.00055851 0.00042768 0.00031922 0.00023525 0.00020758 0.00015649
0.00000000 0.00000000 inf 0.00092161 0.00045522 0.00067516 0.00045522 0.00091422 0.00052831 0.00052493 0.00035857 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00112016 0.00063000 0.00075189 0.00063000 0.00034876 0.00037515 0.00063060 0.00044333 0.00028384 0.00029652
0.00000000 0.00000000 inf 0.00057185 0.00031276 0.00028306 0.00031276 0.00032473 0.00018297 0.00021576 0.00009224 0.00022731 0.00009076
0.00000000 0.00000000 inf 0.00061519 0.00050140 0.00041439 0.00050140 0.00098683 0.00068343 0.00020734 0.00015597 0.00047193 0.00034134
0.00000000 0.00000000 inf 0.00058150 0.00021999 0.00043526 0.00021999 0.00090719 0.00051223 0.00015325 0.00012716 0.00000010 0.00000006
0.00000000 0.00000000 inf 0.00054141 0.00050210 0.00023983 0.00050210 0.00081491 0.00066045 0.00066855 0.00041236 0.00020200 0.00024488
0.00000000 0.00000000 inf 0.00061434 0.00054514 0.00039006 0.00054514 0.00078193 0.00062783 0.00057486 0.00036374 0.00025697 0.00018530
0.00000000 0.00000000 inf 0.00042712 0.00042922 0.00027039 0.00042922 0.00080022 0.00071705 0.00052330 0.00054284 0.00000370 0.00000275
0.00000000 0.00000000 inf 0.00071494 0.00053468 0.00025709 0.00053468 0.00058077 0.00055888 0.00100875 0.00049272 0.00000000 0.00000000
1.00000000 0.98807015 40.00000000 0.00654983 0.00402861 0.00254729 0.00402861 0.00421201 0.00261492 0.00075721 0.00045743 0.00042803 0.00035649
1.00000000 0.98807015 40.00000000 0.00451544 0.00319374 0.00212468 0.00319374 0.00114600 0.00090699 0.00113216 0.00082305 0.00099869 0.00079671
1.00000000 0.98807015 40.00000000 0.00422032 0.00536945 0.00314933 0.00536945 0.00243331 0.00194228 0.00187136 0.00135377 0.00146596 0.00111930
1.00000000 0.98807015 40.00000000 0.00400644 0.00329474 0.00178143 0.00329474 0.00214429 0.00160884 0.00087046 0.00049266 0.00049039 0.00041841
1.00000000 0.98807015 40.00000000 0.00280584 0.00272032 0.00162630 0.00272032 0.00116221 0.00096290 0.00089214 0.00055960 0.00084551 0.00060050
1.00000000 0.98807015 40.00000000 0.00431345 0.00403680 0.00177584 0.00403680 0.00191883 0.00144575 0.00117431 0.00072519 0.00072486 0.00042248
1.00000000 0.98807015 40.00000000 0.00360176 0.00319475 0.00205814 0.00319475 0.00251170 0.00176132 0.00097604 0.00054219 0.00067978 0.00044313
