# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
0.0000e+00 0.0000e+00 inf 1.2538e-03 1.2117e-03 1.1248e-03 1.1170e-03 7.2110e-04 7.3905e-04 6.8575e-05 3.1590e-05 8.6819e-16 6.2774e-16
0.0000e+00 0.0000e+00 inf 9.7870e-04 7.3940e-04 9.4399e-05 1.2453e-04 1.3723e-03 9.1900e-04 1.8382e-04 5.6530e-04 8.6819e-16 6.2774e-16
1.0000e+00 9.8807e-01 4.0000e+01 5.9565e-03 5.8328e-03 4.4213e-03 4.7854e-03 2.2967e-03 1.5286e-03 9.7035e-04 9.5193e-06 8.9899e-04 1.6381e-04
1.0000e+00 9.6942e-01 4.0000e+01 3.4672e-03 3.5743e-03 1.2873e-03 1.9979e-03 2.1334e-03 2.0999e-03 9.4215e-04 1.0879e-03 6.2177e-04 5.6286e-04
1.0000e+00 9.6041e-01 4.0000e+01 4.2918e-03 3.4208e-03 2.8532e-03 2.1082e-03 2.0898e-03 1.5181e-03 1.3201e-03 6.2827e-05 6.4884e-04 1.1234e-04
1.0000e+00 1.0211e+00 4.0000e+01 5.2596e-03 4.7836e-03 4.0622e-03 3.6622e-03 1.7128e-03 1.9578e-03 3.2177e-04 1.1450e-03 2.3514e-04 1.2533e-04
1.0000e+00 9.9981e-01 4.0000e+01 4.7355e-03 3.7085e-03 3.1697e-03 2.4852e-03 2.6469e-03 2.7848e-03 1.6691e-03 5.4598e-04 1.1577e-03 5.1308e-04
1.0000e+00 9.8384e-01 4.0000e+01 7.0451e-03 6.6121e-03 6.1234e-03 6.2019e-03 1.9729e-03 1.2679e-03 8.0164e-04 5.4040e-04 7.3213e-04 5.0091e-05
1.0000e+00 9.8839e-01 4.0000e+01 5.5501e-03 5.4356e-03 3.6411e-03 4.0410e-03 2.2522e-03 1.6765e-03 1.3998e-03 5.4401e-04 5.0407e-04 4.0260e-04
1.0000e+00 9.7308e-01 4.0000e+01 5.6343e-03 3.0724e-03 4.0503e-03 1.7458e-03 1.4827e-03 1.3597e-03 4.6600e-04 4.6969e-04 2.1871e-04 5.6694e-04
1.0000e+00 1.0030e+00 4.0000e+01 5.1474e-03 3.2033e-03 3.5320e-03 1.6062e-03 3.1924e-03 1.8211e-03 2.4370e-03 6.6840e-04 7.3665e-04 2.1974e-05
1.0000e+00 9.8322e-01 4.0000e+01 5.2350e-03 3.5271e-03 4.1581e-03 2.3060e-03 2.0620e-03 1.1137e-03 1.2656e-03 8.4832e-04 1.0744e-03 3.0420e-04
1.1220e+00 1.1306e+00 3.9000e+01 5.4203e-03 4.5510e-03 3.6888e-03 3.7892e-03 4.5034e-03 1.9876e-03 4.3987e-03 1.3388e-03 8.8387e-04 9.4277e-05
1.1220e+00 1.1560e+00 3.9000e+01 5.6583e-03 4.5749e-03 1.9706e-03 3.4361e-03 3.0515e-03 1.6138e-03 1.4664e-03 1.3311e-03 1.3602e-03 2.2543e-06
1.1220e+00 1.1097e+00 3.9000e+01 4.5899e-03 3.6059e-03 6.3162e-04 2.3923e-03 1.8098e-03 1.9985e-03 3.7816e-04 1.2428e-03 4.1000e-04 1.7940e-04
1.1220e+00 1.0816e+00 3.9000e+01 5.2760e-03 4.7546e-03 3.5025e-04 4.3377e-03 2.1578e-03 1.8680e-03 4.4721e-04 1.3127e-03 5.7577e-04 3.0337e-05
1.1220e+00 1.1144e+00 3.9000e+01 4.9671e-03 4.7549e-03 1.1934e-04 3.9160e-03 2.3942e-03 2.0545e-03 6.6299e-04 1.3308e-03 3.6698e-04 3.9839e-05
1.1220e+00 1.0888e+00 3.9000e+01 6.4815e-03 3.7883e-03 5.3308e-03 2.3077e-03 2.3732e-03 1.8715e-03 4.6089e-04 1.0888e-03 1.0575e-03 9.2605e-05
1.1220e+00 1.1327e+00 3.9000e+01 7.1764e-03 4.4438e-03 4.4290e-03 2.1662e-03 3.1626e-03 1.9217e-03 2.0713e-03 1.0465e-03 1.2320e-03 6.9172e-04
1.1220e+00 1.0977e+00 3.9000e+01 4.7464e-03 3.6307e-03 1.8947e-03 2.3246e-03 3.1032e-03 1.8863e-03 2.3095e-03 5.8738e-05 9.0329e-04 6.8675e-05
1.1220e+00 1.1310e+00 3.9000e+01 6.5824e-03 4.4570e-03 4.3422e-03 2.8777e-03 2.6539e-03 1.8677e-03 1.2658e-03 1.3844e-03 8.9412e-04 3.0869e-04
1.1220e+00 1.1177e+00 3.9000e+01 4.7052e-03 3.1228e-03 3.2125e-03 6.5302e-04 2.2451e-03 1.6123e-03 1.7132e-04 6.0797e-04 3.6533e-04 4.8937e-04
1.2589e+00 1.2230e+00 3.8000e+01 8.7844e-03 8.5528e-03 7.0341e-03 8.1935e-03 2.0199e-03 2.1912e-03 7.5569e-04 1.7643e-03 7.3071e-04 4.0034e-04
1.2589e+00 1.3040e+00 3.8000e+01 9.3576e-03 5.7503e-03 7.7305e-03 3.3759e-03 2.8981e-03 2.4374e-03 1.4596e-03 8.7979e-04 6.5479e-04 1.6268e-04
1.2589e+00 1.2410e+00 3.8000e+01 6.3658e-03 5.0238e-03 3.5630e-03 3.9719e-03 2.4525e-03 3.1189e-03 1.0614e-03 2.7183e-03 9.6821e-04 2.6638e-04
1.2589e+00 1.2559e+00 3.8000e+01 6.4252e-03 3.9933e-03 5.1050e-03 2.6201e-03 2.6708e-03 2.4406e-03 2.1622e-03 1.3182e-03 1.9196e-03 8.7647e-04
