#noise_th noise noise_db x_Sindy xdot_Sindy x_Sindy_ku0 xdot_Sindy_ku0 x_LS xdot_LS x_param xdot_param
1.00000000 0.98807015 40.00000000 0.15250386 0.08686726 0.18979304 0.10660380 0.14421487 0.08394778 0.00041639 0.00036519
1.00000000 0.98807015 40.00000000 0.07732632 0.09007689 0.11568037 0.11520870 0.08286801 0.09455813 0.00033179 0.00036164
1.00000000 0.98807015 40.00000000 0.23761829 0.18072146 0.32462566 0.22407363 0.26162995 0.19442126 0.00096888 0.00072993
1.00000000 0.98807015 40.00000000 0.26206639 0.23002869 0.33066205 0.28722895 0.28263650 0.24699338 0.00150788 0.00123312
1.00000000 0.98807015 40.00000000 0.12319967 0.10180656 0.19370299 0.12820558 0.14244213 0.10882561 0.00045001 0.00034199
1.00000000 0.98807015 40.00000000 0.16409504 0.09867849 0.23840157 0.12341742 0.15596081 0.09192837 0.00063222 0.00051905
1.00000000 0.98807015 40.00000000 0.16320371 0.12909804 0.24114303 0.18192718 0.18498338 0.13918285 0.00074498 0.00051798
1.00000000 0.98807015 40.00000000 0.15437663 0.08729097 0.20989736 0.13796963 0.14616048 0.08426111 0.00087774 0.00051020
1.00000000 0.98807015 40.00000000 0.12116895 0.09638112 0.20347791 0.11393349 0.14172091 0.10146651 0.00056826 0.00035510
1.00000000 0.98807015 40.00000000 0.19373646 0.20191238 0.27706294 0.25747072 0.21019825 0.21921368 0.00078523 0.00084734
1.00000000 0.97129811 40.00000000 0.13506297 0.12707892 0.43968621 0.26469170 0.14584070 0.13403694 0.00078281 0.00070831
1.00000000 0.97129811 40.00000000 0.18466988 0.12863110 0.29304519 0.17994474 0.20923661 0.13240888 0.00072180 0.00038267
1.00000000 0.97129811 40.00000000 0.24052649 0.18603462 0.32172348 0.23176837 0.24184208 0.18517713 0.00021076 0.00023625
1.00000000 0.97129811 40.00000000 0.11349627 0.10019138 0.18533901 0.12631587 0.13387570 0.10884301 0.00035161 0.00025736
1.00000000 0.97129811 40.00000000 0.14161337 0.10172867 0.24999998 0.14277331 0.14197194 0.09736358 0.00047209 0.00041977
1.00000000 0.97129811 40.00000000 0.19101346 0.16539709 0.26041711 0.20543106 0.20417689 0.17257562 0.00015339 0.00018814
1.00000000 0.97129811 40.00000000 0.11824565 0.09895096 0.20913411 0.16734112 0.13550652 0.10387797 0.00048003 0.00031004
1.00000000 0.97129811 40.00000000 0.22493042 0.16364099 0.30632527 0.19948974 0.25053020 0.17612711 0.00025325 0.00020913
1.00000000 0.97129811 40.00000000 0.16934549 0.12060022 0.30439436 0.18831227 0.11113866 0.11003905 0.00122570 0.00072431
1.00000000 0.97129811 40.00000000 0.07910768 0.09623896 0.41297561 0.24004077 0.08934790 0.10528412 0.00135842 0.00077948
1.00000000 0.96182633 40.00000000 0.15070779 0.11773669 0.23490425 0.14526671 0.17510543 0.12711368 0.00026533 0.00022892
1.00000000 0.96182633 40.00000000 0.17085949 0.14097937 0.23743547 0.19017386 0.18708560 0.15252058 0.00073690 0.00060811
1.00000000 0.96182633 40.00000000 0.11298671 0.09571645 0.21843764 0.13819307 0.13477172 0.09778148 0.00036026 0.00023982
1.00000000 0.96182633 40.00000000 0.07767868 0.09241776 0.40123431 0.23859892 0.08303488 0.09876421 0.00081028 0.00049165
1.00000000 0.96182633 40.00000000 0.09434188 0.11131546 0.37927596 0.24336041 0.08517058 0.10307229 0.00117050 0.00078999
1.00000000 0.96182633 40.00000000 0.13793000 0.11750853 0.17741403 0.14361238 0.15360318 0.12835336 0.00029711 0.00026227
1.00000000 0.96182633 40.00000000 0.16656544 0.05817519 0.12534830 0.05189970 0.14201496 0.05563929 0.00027537 0.00019756
1.00000000 0.96182633 40.00000000 0.16768209 0.06546663 0.13671004 0.05868229 0.14757340 0.06278410 0.00044960 0.00019873
1.00000000 0.96182633 40.00000000 0.15825868 0.17030622 0.18417860 0.16412515 0.17224797 0.18264522 0.00058535 0.00057670
1.00000000 0.96182633 40.00000000 0.07583119 0.08368228 0.14462431 0.11232702 0.08387145 0.09269212 0.00032830 0.00032123
1.00000000 1.02372741 40.00000000 0.15104974 0.11523345 0.29555815 0.18369838 0.16082224 0.11053911 0.00036574 0.00027930
1.00000000 1.02372741 40.00000000 0.07752963 0.09756414 0.45052596 0.25060125 0.08471685 0.10254449 0.00074153 0.00048280
1.00000000 1.02372741 40.00000000 0.15733952 0.09025420 0.20880593 0.11079205 0.15024354 0.08820011 0.00032740 0.00030317
1.00000000 1.02372741 40.00000000 0.20694849 0.14036771 0.32680234 0.18264910 0.22911389 0.14466347 0.00049114 0.00034167
1.00000000 1.02372741 40.00000000 0.23028814 0.20797192 0.13333042 0.14131563 0.25027874 0.22425122 0.00031229 0.00029597
1.00000000 1.02372741 40.00000000 0.12112584 0.08995809 0.21260386 0.13324141 0.11786064 0.08819675 0.00056241 0.00028830
1.00000000 1.02372741 40.00000000 0.14889239 0.11169587 0.21116317 0.14092920 0.16959243 0.12030002 0.00041426 0.00032266
1.00000000 1.02372741 40.00000000 0.20105357 0.14212820 0.27465414 0.19119577 0.22224091 0.14803585 0.00046039 0.00031521
1.00000000 1.02372741 40.00000000 0.10088303 0.09065687 0.20882551 0.11017691 0.11978522 0.09337100 0.00058124 0.00035076
1.00000000 1.02372741 40.00000000 0.17773936 0.06645934 0.13643799 0.06465685 0.15913671 0.06524195 0.00025370 0.00014820
1.00000000 0.99349599 40.00000000 0.23140657 0.22229497 0.30145562 0.27913478 0.25060323 0.23937122 0.00202394 0.00187351
1.00000000 0.99349599 40.00000000 0.09586464 0.11079604 0.48187715 0.26180803 0.10377678 0.11885142 0.00125142 0.00093260
1.00000000 0.99349599 40.00000000 0.14600734 0.09355542 0.23841943 0.13626089 0.14403932 0.09087049 0.00106277 0.00074410
1.00000000 0.99349599 40.00000000 0.22934608 0.16727884 0.31128119 0.20678516 0.24482348 0.17260779 0.00099550 0.00077577
1.00000000 0.99349599 40.00000000 0.13553654 0.10102054 0.25677370 0.11796667 0.13431534 0.09524504 0.00057959 0.00057120
1.00000000 0.99349599 40.00000000 0.08619645 0.10307884 0.39333068 0.25633311 0.09371791 0.10871737 0.00156689 0.00129373
1.00000000 0.99349599 40.00000000 0.07890691 0.07348315 0.16620353 0.10690942 0.07408182 0.07351630 0.00047559 0.00033648
1.00000000 0.99349599 40.00000000 0.16747199 0.17922284 0.21868273 0.22265480 0.18451844 0.19582841 0.00149858 0.00148973
1.00000000 0.99349599 40.00000000 0.11108621 0.09992284 0.36159494 0.21697131 0.10687542 0.09209600 0.00125307 0.00091734
1.00000000 0.99349599 40.00000000 0.08201638 0.09767923 0.42201224 0.24335121 0.09140291 0.10840947 0.00108660 0.00093429
1.00000000 0.98818751 40.00000000 0.13461774 0.09675650 0.23494683 0.11524859 0.13795403 0.09548159 0.00070090 0.00044143
1.00000000 0.98818751 40.00000000 0.18916711 0.17645034 0.24681451 0.21289860 0.20907307 0.19163221 0.00136978 0.00114312
1.00000000 0.98818751 40.00000000 0.12191655 0.10037380 0.21403597 0.13584686 0.14524375 0.10403571 0.00143953 0.00083227
