# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
1.0000e+00 9.8807e-01 4.0000e+01 2.0276e-01 8.1347e-02 1.9808e-01 8.1959e-02 8.9899e-04 1.6381e-04
1.0000e+00 9.7130e-01 4.0000e+01 2.0295e-01 8.2222e-02 1.9778e-01 8.1374e-02 1.9869e-04 6.2460e-04
1.0000e+00 9.6183e-01 4.0000e+01 2.0293e-01 8.1453e-02 1.9740e-01 7.9741e-02 6.9515e-04 3.2963e-05
1.0000e+00 1.0237e+00 4.0000e+01 2.0278e-01 8.1797e-02 1.9755e-01 8.1148e-02 1.8625e-04 8.3804e-05
1.0000e+00 9.9350e-01 4.0000e+01 2.0255e-01 8.1398e-02 1.9723e-01 8.0983e-02 8.9649e-04 6.7969e-04
1.0000e+00 9.8819e-01 4.0000e+01 2.0249e-01 8.1338e-02 1.9692e-01 8.0423e-02 8.9738e-04 4.4749e-06
1.0000e+00 9.8878e-01 4.0000e+01 2.0313e-01 8.2847e-02 1.9774e-01 8.1562e-02 3.1423e-04 4.4015e-04
1.0000e+00 9.7257e-01 4.0000e+01 2.0303e-01 8.1254e-02 1.9760e-01 8.0877e-02 2.3351e-04 5.6367e-04
1.0000e+00 1.0035e+00 4.0000e+01 2.0309e-01 8.1926e-02 1.9770e-01 8.1383e-02 7.3903e-04 2.4814e-05
1.0000e+00 9.8966e-01 4.0000e+01 2.0255e-01 8.2004e-02 1.9713e-01 8.1268e-02 1.0642e-03 4.0392e-04
1.1220e+00 1.1322e+00 3.9000e+01 2.0229e-01 8.0807e-02 1.9699e-01 8.0469e-02 7.7084e-04 9.2738e-05
1.1220e+00 1.1587e+00 3.9000e+01 2.0297e-01 8.1864e-02 1.9763e-01 8.0544e-02 1.2970e-03 2.2770e-04
1.1220e+00 1.1109e+00 3.9000e+01 2.0282e-01 8.1181e-02 1.9739e-01 8.0009e-02 3.9114e-04 2.1160e-04
1.1220e+00 1.0816e+00 3.9000e+01 2.0288e-01 8.2137e-02 1.9787e-01 8.2144e-02 5.7577e-04 3.0337e-05
1.1220e+00 1.1144e+00 3.9000e+01 2.0224e-01 8.0801e-02 1.9712e-01 8.0360e-02 3.9605e-04 3.8502e-05
1.1220e+00 1.0888e+00 3.9000e+01 2.0267e-01 8.0951e-02 1.9738e-01 8.0357e-02 1.0575e-03 9.2605e-05
1.1220e+00 1.1226e+00 3.9000e+01 2.0240e-01 8.0725e-02 1.9684e-01 7.9108e-02 1.5970e-03 3.6187e-04
1.1220e+00 1.1010e+00 3.9000e+01 2.0301e-01 8.2623e-02 1.9730e-01 8.1089e-02 8.5127e-04 1.6307e-04
1.1220e+00 1.1329e+00 3.9000e+01 2.0285e-01 8.1670e-02 1.9786e-01 8.1221e-02 9.0182e-04 1.4628e-04
1.1220e+00 1.1229e+00 3.9000e+01 2.0246e-01 8.0128e-02 1.9769e-01 8.1428e-02 5.8397e-04 3.2608e-04
1.2589e+00 1.2237e+00 3.8000e+01 2.0286e-01 8.1822e-02 1.9767e-01 8.1282e-02 1.4243e-03 1.5789e-04
1.2589e+00 1.3059e+00 3.8000e+01 2.0306e-01 8.3100e-02 1.9764e-01 8.1960e-02 4.0387e-04 2.6313e-04
1.2589e+00 1.2330e+00 3.8000e+01 2.0284e-01 8.2274e-02 1.9718e-01 8.0416e-02 8.7700e-04 2.2346e-04
1.2589e+00 1.2404e+00 3.8000e+01 2.0253e-01 8.1387e-02 1.9680e-01 7.9533e-02 1.9146e-03 1.0002e-04
