noise_th noise noise_db xSR vSR xSR-CC vSR-CC xparam vparam
0.00000000 0.00000000 inf 0.00021468 0.00016096 0.00008871 0.00008724 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00000197 0.00000248 0.00000221 0.00000269 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00000017 0.00000015 0.00005664 0.00004387 0.00000000 0.00000000
0.00000000 0.00000000 inf 0.00010488 0.00010092 0.00019110 0.00020715 0.00020626 0.00021452
0.00000000 0.00000000 inf 0.00012984 0.00015676 0.00046486 0.00027832 0.00000001 0.00000001
0.00000000 0.00000000 inf 0.00008212 0.00009059 0.00009602 0.00009861 0.00008879 0.00009737
0.00000000 0.00000000 inf 0.00017339 0.00011819 0.00008557 0.00005863 0.00011153 0.00008916
0.00000000 0.00000000 inf 0.00011479 0.00012777 0.00012109 0.00010626 0.00006254 0.00005098
0.00000000 0.00000000 inf 0.00015535 0.00011852 0.00012583 0.00009853 0.00009758 0.00009819
0.00000000 0.00000000 inf 0.00025180 0.00016549 0.00019253 0.00015437 0.00021283 0.00019347
0.00000000 0.00000000 inf 0.00001169 0.00001049 0.00007556 0.00006459 0.00005718 0.00005250
0.00000000 0.00000000 inf 0.00064512 0.00041641 0.00072810 0.00049067 0.00025412 0.00016375
0.00000000 0.00000000 inf 0.00038180 0.00029595 0.00027632 0.00028677 0.00032664 0.00026719
0.00000000 0.00000000 inf 0.00011610 0.00010654 0.00014521 0.00014117 0.00009948 0.00011499
0.00000000 0.00000000 inf 0.00079220 0.00065387 0.00028434 0.00018455 0.00061288 0.00051967
0.00000000 0.00000000 inf 0.00050230 0.00037727 0.00045863 0.00027231 0.00065307 0.00041421
0.00000000 0.00000000 inf 0.00012349 0.00009785 0.00012134 0.00013419 0.00010877 0.00008561
0.00000000 0.00000000 inf 0.00049147 0.00036095 0.00016603 0.00010099 0.00046048 0.00029970
0.00000000 0.00000000 inf 0.00089074 0.00047418 0.00057455 0.00035765 0.00064186 0.00038411
