# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
0.0000e+00 0.0000e+00 inf 8.6819e-16 6.2774e-16 1.0000e+06 1.0000e+06 1.1159e-05 1.9180e-05
0.0000e+00 0.0000e+00 inf 8.6819e-16 6.2774e-16 1.2099e-07 0.0000e+00 2.3257e-07 2.1154e-06
0.0000e+00 0.0000e+00 inf 8.6819e-16 6.2774e-16 9.4522e-09 0.0000e+00 7.5012e-07 6.9103e-06
0.0000e+00 0.0000e+00 inf 8.6819e-16 6.2774e-16 9.4522e-09 0.0000e+00 6.5711e-07 1.2974e-05
0.0000e+00 0.0000e+00 inf 8.6819e-16 6.2774e-16 1.1036e-09 0.0000e+00 1.0512e-05 2.8910e-06
0.0000e+00 0.0000e+00 inf 8.6819e-16 6.2774e-16 5.6859e-06 1.1282e-06 1.1623e-06 2.7500e-06
1.0000e+00 9.8807e-01 4.0000e+01 8.9899e-04 1.6381e-04 8.9219e-04 1.7036e-04 8.8667e-04 1.6789e-04
1.0000e+00 1.0224e+00 4.0000e+01 4.7019e-04 2.2993e-05 5.3688e-04 1.0961e-05 4.6407e-04 8.6590e-05
1.0000e+00 9.6003e-01 4.0000e+01 4.6730e-04 5.1776e-04 7.8030e-04 4.1314e-04 7.0385e-04 4.1427e-04
1.0000e+00 9.6506e-01 4.0000e+01 1.8460e-04 9.5757e-04 2.2728e-04 1.0334e-03 2.5870e-04 1.3479e-03
1.0000e+00 9.9656e-01 4.0000e+01 6.0480e-04 8.7241e-04 1.1319e-02 1.0085e-03 5.6039e-04 9.5475e-04
1.0000e+00 1.0431e+00 4.0000e+01 8.7987e-04 6.2399e-04 4.1331e-04 5.3111e-04 4.1086e-04 5.3012e-04
1.0000e+00 1.0171e+00 4.0000e+01 4.3730e-04 8.7715e-06 6.5892e-04 4.5622e-05 6.5715e-04 9.3783e-06
1.0000e+00 1.0247e+00 4.0000e+01 3.2890e-04 1.4530e-05 6.2215e-04 5.4484e-05 5.1105e-04 4.4635e-05
