# noise_perc_th noise_perc SNR_dB NN_nosym_f1 NN_nosym_f2 NN_postSR_f1_nosym NN_postSR_f2_nosym NN_sym_f1 NN_sym_f2 NN_postSR_f1 NN_postSR_f2 Param_f1 Param_f2
1.0000e+00 1.0000e+00 4.0000e+01 1.1871e-01 5.1387e-02 3.0764e-01 3.3436e-02 1.1432e-01 5.6910e-02 3.0760e-01 4.0291e-02 2.8570e-01 2.9799e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2266e-01 6.3645e-02 3.0594e-01 4.2244e-02 1.0896e-01 5.8879e-02 3.0605e-01 3.8346e-02 2.4489e-01 3.6986e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.4216e-01 8.0287e-02 2.5664e-01 4.4443e-02 1.3296e-01 6.9321e-02 2.7195e-01 4.5263e-02 2.8243e-01 3.0720e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.7846e-01 8.3632e-02 3.0542e-01 7.5591e-02 1.1433e-01 7.0581e-02 3.0514e-01 5.5367e-02 2.3978e-01 2.6597e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.4350e-01 6.9774e-02 3.0485e-01 6.4305e-03 1.2986e-01 6.1811e-02 3.0503e-01 2.4406e-04 2.8912e-01 3.1920e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.3775e-01 7.7429e-02 3.0682e-01 4.1321e-02 1.1640e-01 6.7553e-02 3.0675e-01 5.4761e-02 2.6274e-01 3.8829e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.3645e-01 6.2406e-02 3.0529e-01 1.2469e-02 1.1375e-01 6.6222e-02 3.0525e-01 5.6238e-02 2.4853e-01 2.7511e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.7572e-01 1.1556e-01 3.0909e-01 9.9762e-02 1.2984e-01 5.7480e-02 3.0791e-01 1.8132e-03 2.7196e-01 2.5341e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.9734e-01 1.3897e-01 3.4003e-01 1.3021e-01 1.2376e-01 6.1732e-02 3.0731e-01 3.6750e-02 2.5419e-01 1.8316e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.3142e-01 6.1168e-02 3.0769e-01 7.1681e-03 1.1546e-01 5.8296e-02 3.0766e-01 3.3956e-02 2.4684e-01 4.0852e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.2785e-01 4.9984e-02 3.0618e-01 1.4166e-02 1.1782e-01 6.4039e-02 3.0614e-01 4.2670e-02 2.6053e-01 3.7241e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.5351e-01 6.2596e-02 3.0609e-01 1.9719e-02 1.3628e-01 7.3760e-02 2.7459e-01 5.2059e-02 2.8171e-01 3.2562e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.5159e-01 8.0354e-02 3.0417e-01 4.4935e-02 1.3500e-01 6.6496e-02 3.0370e-01 5.0897e-02 2.7017e-01 3.6961e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.3305e-01 5.4007e-02 3.0569e-01 1.2213e-02 1.2053e-01 6.1632e-02 3.0573e-01 3.8354e-02 2.6398e-01 3.4991e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.3972e-01 6.6515e-02 3.0733e-01 7.4261e-03 1.2919e-01 7.3370e-02 2.5661e-01 4.9499e-02 2.6469e-01 3.2520e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6642e-01 9.5428e-02 3.0569e-01 7.6794e-02 1.4069e-01 7.1975e-02 3.0574e-01 5.3479e-02 2.9092e-01 3.8286e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.4125e-01 7.7611e-02 3.0631e-01 4.2329e-02 1.2365e-01 7.6857e-02 3.0621e-01 5.1372e-02 2.5691e-01 3.8399e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.0134e-01 1.3192e-01 3.3762e-01 1.1497e-01 1.3455e-01 7.0630e-02 3.0670e-01 4.0771e-02 2.7958e-01 3.2229e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6093e-01 7.0961e-02 3.0711e-01 2.9809e-02 1.3274e-01 7.7216e-02 3.0668e-01 5.2581e-02 2.6944e-01 3.7061e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.6529e-01 8.8248e-02 3.0534e-01 4.3364e-02 1.4903e-01 6.3624e-02 3.0507e-01 1.2548e-02 2.6949e-01 3.2315e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.5959e-01 7.2662e-02 3.0621e-01 4.3486e-02 1.4277e-01 6.7360e-02 2.6856e-01 5.6291e-02 2.8236e-01 3.5302e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.8888e-01 1.3167e-01 3.3064e-01 1.1815e-01 1.3107e-01 7.3777e-02 3.0782e-01 5.2765e-02 2.6446e-01 3.4543e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.6400e-01 9.2466e-02 3.0696e-01 1.3709e-03 1.4269e-01 7.5086e-02 3.0683e-01 6.2270e-02 2.8969e-01 3.5594e-02
1.2589e+00 1.2589e+00 3.8000e+01 1.4234e-01 5.0642e-02 3.0876e-01 6.9052e-03 1.3803e-01 7.8958e-02 2.5734e-01 6.9353e-02 2.7940e-01 3.5119e-02
