# noise_perc_th noise_perc SNR_dB SINDy_f1 SINDy_f2 Poly_f1 Poly_f2 Param_f1 Param_f2
1.0000e+00 1.0000e+00 4.0000e+01 1.1580e+00 1.1555e+00 9.7223e-01 1.5776e+00 2.8550e-01 2.9589e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.1641e+00 1.1850e+00 9.8583e-01 1.5444e+00 2.4811e-01 3.6923e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.1962e+00 1.1331e+00 9.7969e-01 1.5880e+00 2.7569e-01 2.9136e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2033e+00 1.1617e+00 1.0034e+00 1.5280e+00 2.6155e-01 2.9759e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2012e+00 1.1453e+00 1.0082e+00 1.4917e+00 2.8888e-01 3.2298e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2143e+00 1.1287e+00 9.8299e-01 1.5716e+00 2.6128e-01 3.8105e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2171e+00 1.1339e+00 9.9379e-01 1.5493e+00 2.5658e-01 2.0402e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.1865e+00 1.1399e+00 9.8421e-01 1.5349e+00 2.6245e-01 2.7920e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2158e+00 1.1583e+00 1.0134e+00 1.5031e+00 2.6776e-01 3.0913e-02
1.0000e+00 1.0000e+00 4.0000e+01 1.2205e+00 1.1341e+00 1.0057e+00 1.5092e+00 2.9470e-01 2.9205e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.1939e+00 1.1348e+00 9.8210e-01 1.5705e+00 2.6182e-01 2.9515e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.1913e+00 1.1649e+00 9.9513e-01 1.5343e+00 2.6966e-01 3.6267e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.1788e+00 1.1561e+00 9.7865e-01 1.5631e+00 2.6809e-01 3.3449e-02
1.1220e+00 1.1220e+00 3.9000e+01 1.2008e+00 1.1248e+00 9.7319e-01 1.5753e+00 2.5902e-01 3.7671e-02
