# noise_perc_th noise_perc SNR_dB Param_f1 Param_f2 SR_f1 SR_f2 SR_CC_f1 SR_CC_f2
1.0000e+00 1.0000e+00 4.0000e+01 2.8570e-01 2.9799e-02 4.5874e-01 7.9874e-02 1.2901e-01 3.3196e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.5143e-01 3.1523e-02 4.5434e-01 8.0004e-02 2.2154e-01 3.6815e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.3608e-01 3.4742e-02 4.5867e-01 7.9523e-02 2.0576e-01 3.9822e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.4888e-01 3.3321e-02 4.5640e-01 7.9441e-02 2.1638e-01 3.8430e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.7664e-01 3.3922e-02 4.5490e-01 7.9248e-02 2.3684e-01 2.9891e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.7932e-01 2.3742e-02 1.0000e+06 1.0000e+06 4.0427e-01 2.7732e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.7634e-01 3.1493e-02 4.5746e-01 7.8905e-02 4.0436e-01 3.0164e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.6182e-01 3.6920e-02 4.5679e-01 7.8475e-02 2.2485e-01 2.8837e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.5914e-01 3.6463e-02 4.5611e-01 7.8626e-02 2.2119e-01 3.9725e-02
1.0000e+00 1.0000e+00 4.0000e+01 2.8502e-01 2.7429e-02 4.5800e-01 7.7384e-02 2.4702e-01 3.3070e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.7112e-01 3.1248e-02 4.5714e-01 7.5806e-02 2.3436e-01 3.5209e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.4925e-01 2.7683e-02 1.0000e+06 1.0000e+06 2.1550e-01 3.1599e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.4509e-01 3.0158e-02 1.0000e+06 1.0000e+06 2.1304e-01 3.4805e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.5759e-01 3.6052e-02 4.5473e-01 7.9107e-02 2.1825e-01 4.0227e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.7380e-01 3.3577e-02 4.5607e-01 7.9285e-02 2.3433e-01 3.8557e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.5975e-01 4.0070e-02 4.6021e-01 7.6959e-02 2.2739e-01 4.3412e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.8792e-01 3.7509e-02 2.1029e-01 4.3240e-02 1.5532e-01 4.1377e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.7016e-01 2.1369e-02 1.8693e-01 2.4302e-02 2.3218e-01 2.7462e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.7820e-01 3.4870e-02 4.5905e-01 8.0412e-02 2.3999e-01 3.6643e-02
1.1220e+00 1.1220e+00 3.9000e+01 2.6593e-01 3.1748e-02 4.5934e-01 7.8674e-02 4.0492e-01 2.9761e-02
1.2589e+00 1.2589e+00 3.8000e+01 3.0417e-01 3.5572e-02 1.0000e+06 1.0000e+06 4.0373e-01 2.9511e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.7194e-01 2.4908e-02 4.5473e-01 8.0542e-02 1.8609e-01 2.9775e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.9253e-01 2.8731e-02 4.5797e-01 7.8663e-02 4.0278e-01 2.9686e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.8890e-01 2.6637e-02 4.5436e-01 8.1607e-02 4.0239e-01 2.9732e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.6184e-01 1.5851e-02 4.5740e-01 7.9807e-02 2.2931e-01 2.5509e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.9465e-01 3.5962e-02 4.5570e-01 7.8962e-02 4.0265e-01 2.9664e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.6360e-01 3.1341e-02 4.0232e-01 3.2782e-02 2.2223e-01 3.3524e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.6010e-01 2.6693e-02 4.0448e-01 2.6914e-02 1.3871e-01 3.0585e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.7897e-01 3.8688e-02 4.5493e-01 8.2539e-02 2.5604e-01 3.7796e-02
1.2589e+00 1.2589e+00 3.8000e+01 2.6732e-01 2.8353e-02 4.5611e-01 7.8787e-02 4.0449e-01 3.3557e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.8728e-01 2.7466e-02 4.5442e-01 7.8467e-02 4.0251e-01 3.0120e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.6611e-01 2.9860e-02 4.0415e-01 3.0295e-02 2.6343e-01 3.0312e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.6947e-01 3.9639e-02 4.6027e-01 8.3448e-02 2.3519e-01 3.1633e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.7399e-01 2.6031e-02 4.5314e-01 7.6306e-02 4.0221e-01 2.7645e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.9098e-01 3.0055e-02 4.6249e-01 7.8493e-02 2.5653e-01 2.9717e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.0297e-01 2.5183e-02 4.5659e-01 7.5287e-02 1.7535e-01 2.7291e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.9096e-01 2.9625e-02 4.5814e-01 7.8250e-02 4.0426e-01 2.8963e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.6969e-01 3.2926e-02 4.5320e-01 8.2051e-02 1.5729e-01 3.2047e-02
1.4125e+00 1.4125e+00 3.7000e+01 2.8427e-01 2.7509e-02 4.0427e-01 2.9697e-02 1.9440e-01 2.9753e-02
1.4125e+00 1.4125e+00 3.7000e+01 3.0388e-01 3.3454e-02 4.5625e-01 8.0875e-02 4.0416e-01 3.1894e-02
1.5849e+00 1.5849e+00 3.6000e+01 2.6094e-01 3.0815e-02 4.5882e-01 7.7743e-02 2.2775e-01 3.5151e-02
